title,Type,description,level,course_duration,ratings,reviews_count,course_skills,Prerequisites,course_url,platform,course_img,domain,paid,students_count
Artificial Intelligence for Trading,nanodegree,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",intermediate,6 Months,4.6,789.0,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks",Python & Mathematics,https://www.udacity.com/course/ai-for-trading--nd880,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=3840&q=80&fit=clip&auto=format,AI for Trading,Yes,N/A
React,nanodegree,Learn to build declarative user interfaces for the web with React as well as manage state more predictably in your applications with Redux.,intermediate,2 Months,4.7,1269.0,"React Component State,  React Router,  React Hooks,  JavaScript Functions,  Application State Management with Redux,  React-Redux Bindings,  React Component State,  Fetching Data,  React Native Basics,  Data Lifecycle Management,  Jest,  React-Redux Bindings,  React Design Patterns,  Software Testing","HTML & CSS, JavaScript, Asynchronous JavaScript (AJAX) and Web forms",https://www.udacity.com/course/react-nanodegree--nd019,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=3840&q=80&fit=clip&auto=format,React and Redux,Yes,N/A
Self-Driving Car Engineer,nanodegree,Learn the techniques that power self-driving cars across the full stack of a vehicleâ€™s autonomous capabilities.,advanced,5 Months,,,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control","Python, C++, Linear Algebra and Calculus",https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd0013,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/5c3120359be5c4f225cd7b817811217041b759ab-1192x668.png?w=3840&q=80&fit=clip&auto=format,Self-Driving Cars,Yes,N/A
UX Designer,nanodegree,Design impactful user experiences for products in todayâ€™s digital world.,beginner,3 Months,4.7,1032.0,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",No Experience Required.,https://www.udacity.com/course/ux-designer-nanodegree--nd578,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/d2f16531bde974464ad7ab74dc335790dbdebffa-1192x668.png?w=3840&q=80&fit=clip&auto=format,UX Design,Yes,N/A
Java Developer,nanodegree,"Learn back-end development with Java, one of the most popular programming languages in the world.",intermediate,4 Months,4.5,359.0,"Java, Spring Boot, Rest API, MySQL, MongoDB",Intermediate knowledge of Java,https://www.udacity.com/course/java-developer-nanodegree--nd035,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/3b5e2dcb6962b3c193bb33b3ffe880441acf2a89-1198x672.png?w=3840&q=80&fit=clip&auto=format,Java Development,Yes,N/A
Data Engineering with Microsoft Azure,nanodegree,Master job-ready Azure skills like designing data models and utilizing other in-demand components of the cloud computing service.,intermediate,4 Months,,,"Database Normalization,  Data Modeling Basics,  PostgreSQL,  SQL and SQL scripting, Denormalized Data Schemas,  Relational data modeling,  OLAP Cubes,  Data Warehouse Architecture,  Data Extraction,  Big Data Fluency,  Apache Spark,  Data Lakes,  Apache Airflow,  Azure Pipelines
","Experience with SQL, Python, Azure, and Github",https://www.udacity.com/course/data-engineering-with-microsoft-azure-nanodegree--nd0277,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/e767662e806c4b485fdb86dbc15f13f937756232-1456x816.png?w=3840&q=80&fit=clip&auto=format,Azure Cloud,Yes,N/A
AI Programming with Python,nanodegree,"Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebraâ€”the foundations for building your own neural network.",beginner,3 Months,4.7,1626.0,"Python, NumPy, Pandas, Matplotlib, PyTorch",Basic Algebra and Programming Knowledge,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/5ff5d5ece10bed416bef03604a02a5224b30cd82-1456x816.png?w=3840&q=80&fit=clip&auto=format,Neural Networks,Yes,N/A
Data Product Manager,nanodegree,Apply data science best practices to build products that deliver the right experience to the right usersâ€”at the right time.,intermediate,3 Months,4.3,220.0,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps",Prior Data Analysis & Product Management Experience Recommended,https://www.udacity.com/course/data-product-manager-nanodegree--nd030,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/7c30d37b7fa71fd4603ed91727c5505d14426f0e-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Science,Yes,N/A
Intermediate Python,nanodegree,"Learn how to plan, design, and implement enterprise data infrastructure solutions and create the blueprints for your organizationâ€™s data success.",intermediate,2 Months,4.4,144.0,"Python, Object-oriented programming, Modular code, Python Package Index",Basic Python,https://www.udacity.com/course/intermediate-python-nanodegree--nd303,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/de83e035790099664b193de60ad62f9ce64ab50b-1350x756.png?w=3840&q=80&fit=clip&auto=format,Data Infrastructure,Yes,N/A
Growth Product Manager,nanodegree,"Lead experimentation and data-driven decision-making to drive products to the next level of scale, impact, and profitability.",intermediate,3 Months,4.5,50.0,"Acquisition Strategy,  Growth Loops,  Product Management,  Activation Metrics,  Growth Strategy,  Activation Strategy,  Product Monetization Strategy,  Product Monetization Metrics,  Premium Value,  Cohort Analysis,  Experiment Design,  Target Personas,  Customer Acquisition Cost,  User Journey Maps",Prior Product Management Experience recommended,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/86756465e03b99e350c321d4cbfd99e61e2a3520-1218x682.png?w=3840&q=80&fit=clip&auto=format,Data-Driven Decision Making,Yes,N/A
Front End Web Developer,nanodegree,Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,intermediate,4 Months,4.6,1194.0,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-oriented Programming","Knowledge of basic HTML, CSS, and JavaScript",https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/f30df485d2531da30e61564cb87f8f92f95ca742-1198x672.png?w=3840&q=80&fit=clip&auto=format,Web Development,Yes,N/A
Blockchain Developer,nanodegree,"Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space.",intermediate,4 Months,4.5,566.0,"Ethereum Blockchain, Blockchain Architecture, Data Auditing",Object-oriented programming,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/6c256248d79b3083336ab1e12f42ccde7e42b56c-1198x672.png?w=3840&q=80&fit=clip&auto=format,Blockchain,Yes,N/A
Deep Reinforcement Learning,nanodegree,Master the deep reinforcement learning skills that are powering amazing advances in AIâ€”and start applying these skills to applications like video games and robotics.,advanced,3 Months,4.6,534.0,"Reinforcement Learning, Neural Networks, PyTorch, Deep Q-Networks (DQN), Deep Deterministic Policy Gradients (DDPG)","Experience with Python, Probability, Machine Learning, & Deep Learning.",https://www.udacity.com/course/deep-reinforcement-learning-nanodegree--nd893,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/ee5be1eeedf5ceda1877f3b27d78b5a5d8abb558-1348x756.png?w=3840&q=80&fit=clip&auto=format,Deep Reinforcement Learning,Yes,N/A
Computer Vision,nanodegree,"Learn the in-demand skills of computer vision, a growing field of AI, that empower advancements in robotics and automation.",advanced,3 Months,4.7,798.0,"Convolutional Neural Networks, Recurrent Neural Networks, Simultaneous Localization and Mapping, Object Tracking, Image Classification, Deep Learning","Python, Statistics, Machine Learning, & Deep Learning",https://www.udacity.com/course/computer-vision-nanodegree--nd891,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=640&q=100&fit=clip&auto=format,Computer Vision,Yes,N/A
Data Structures and Algorithms,nanodegree,Get hands-on practice with over 100 data structures and algorithm exercises with technical mentor support when needed to help prepare you for the workplace.,intermediate,4 Months,4.7,850.0,"Data Structures and Algorithms, Problem Solving, Interview Practice Problems, Python",Python and Basic Algebra,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=828&q=100&fit=clip&auto=format,Data Structures and Algorithms,Yes,N/A
Robotics Software Engineer,nanodegree,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, localization, mapping, SLAM, navigation, and path planning.",advanced,4 Months,4.5,571.0,"C++, ROS, Localization, Mapping, SLAM, Navigation, Path Planning, Robot Operating System, Robotics",Mathematics & Programming,https://www.udacity.com/course/robotics-software-engineer--nd209,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=828&q=100&fit=clip&auto=format,Robotics,Yes,N/A
AI Product Manager,nanodegree,Develop AI products that deliver real business value by building skills that help you compete in the new AI-powered world.,beginner,2 Months,4.4,616.0,"AI Products, Training ML Models, Annotating Datasets, Prototyping a Product",No Experience Required,https://www.udacity.com/course/ai-product-manager-nanodegree--nd088,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/fdf314615dab9455b1e163ae8ab698abde8453c8-1456x816.png?w=3840&q=80&fit=clip&auto=format,AI for Business,Yes,N/A
Android Kotlin Developer,nanodegree,"Master Android app development with Kotlin, a modern programming language that enables developers to be more productive.",intermediate,4 Months,4.7,355.0,"Android Development, Kotlin, Android Studio, Gradle, RESTful interfaces, Web APIs, App Architecture, Databases, Custom Views, Notifications, Location Services, Testing, Firebase",Experience with Object-Oriented Programming,https://www.udacity.com/course/android-kotlin-developer-nanodegree--nd940,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/11a90ae272df3763621552365876f6ea8ac21a97-1324x742.png?w=3840&q=80&fit=clip&auto=format,Android App Development,Yes,N/A
Java Programming,nanodegree,"Elevate your Java abilities with the fundamental skills used by developers to design, code, test, and deploy cutting-edge Java software.",intermediate,3 Months,4.5,143.0,"Object-oriented programming,  functional programming,  I/O,  reflection,  concurrent programming,  Java modules","Basic programming concepts like variables, loops and conditionals.",https://www.udacity.com/course/java-programming-nanodegree--nd079,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/b32fd6fc93400e5aa6beca327fb5b4a74761b180-1324x742.png?w=3840&q=80&fit=clip&auto=format,Java Software Development,Yes,N/A
Cloud DevOps Engineer,nanodegree,Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to master skills like operationalizing infrastructure at scale and delivering applications and services at high velocity.,intermediate,4 Months,4.6,846.0,"AWS, Configuration Management with Ansible, Continuous Integration / Continuous Deployment, Microservices with Kubernetes, CloudFormation",Intermediate JavaScript,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/1706e25eac3c20ab4bf5d2062264a288af29f496-1324x742.png?w=3840&q=80&fit=clip&auto=format,DevOps,Yes,N/A
Data Architect,nanodegree,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organizationâ€™s data success.",advanced,4 Months,4.6,122.0,"Entity relationship diagrams,  Relational Data Design,  Online Analytical Processing,  Operational Data Stores,  Data Lake Architecture,  Data Governance
","Intermediate Python, SQL, and Basics of ETL/Data Pipelines",https://www.udacity.com/course/data-architect-nanodegree--nd038,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8980e92e19621099e7f69bf42be9d4aece603754-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Infrastructure,Yes,N/A
Data Analysis and Visualization with Microsoft Power BI,nanodegree,"Utilize Microsoft Power BI as a primary tool for data pre-processing, visualization, and analysis.",beginner,3 Months,4.7,256.0,"Power BI,  data visulations,  data modeling,  Extract-Transform-Load,  Data Analytics Expressions",Microsoft Excel,https://www.udacity.com/course/data-analysis-and-visualization-with-power-BI-nanodegree--nd331,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=3840&q=80&fit=clip&auto=format,Power BI,Yes,N/A
Natural Language Processing,nanodegree,"Learn the job-ready skills that progress computers to be able to understand, process, and respond to human language.",advanced,3 Months,4.5,525.0,"Machine Learning, Speech Recognition, Sentiment Analysis, Machine Translation, Part of Speech Tagging","Python, Statistics, Machine Learning, & Deep Learning",https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/e91a4659d80f9de0294d1fc4d9c78b23a4e93146-1456x816.png?w=3840&q=80&fit=clip&auto=format,Natural Language Processing,Yes,N/A
Intro to Self-Driving Cars,nanodegree,This introductory program is the perfect way to start your journey into the future of transportationâ€”flying cars.,intermediate,4 Months,4.6,806.0,"Computer Vision, Machine Learning, Vehicle Motion, Control",Programming & Mathematics,https://www.udacity.com/course/intro-to-self-driving-cars--nd113,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/26ec24d4b156067dae78f954f28b12fa64e9bc8b-772x433.png?w=3840&q=80&fit=clip&auto=format,Flying Cars,Yes,N/A
Full Stack JavaScript Developer,nanodegree,"Find success as a full stack developer by focusing on topics like UI, UX, APIs, server side business logic, persistence layers, and more.",intermediate,4 Months,4.7,89.0,"Creating an API,  Databases and SQL,  Node.js,  Angular,  TypeScript,  Deployment","HTML, CSS, Basic JavaScript, JSON",https://www.udacity.com/course/full-stack-javascript-developer-nanodegree--nd0067,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/f65b0f36470667f36f2ab480f41a6eef6a0dfaa9-772x433.png?w=3840&q=80&fit=clip&auto=format,Full Stack Development,Yes,N/A
Introduction to Cybersecurity,nanodegree,"Get your start in the high growth field of cybersecurity by building foundational skills including evaluating, maintaining, and monitoring the security of computer systems.",beginner,4 Months,4.5,163.0,"Threat Assessment, Security Vulnerabilities, Compliance, Governance, Risk, Incident Response",Basic knowledge of network connectivity and OS fundamentals,https://www.udacity.com/course/intro-to-cybersecurity-nanodegree--nd545,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/844bbcb6611a250229f627f83416d5fa52e1917b-1324x742.png?w=3840&q=80&fit=clip&auto=format,Cybersecurity,Yes,N/A
Data Streaming,nanodegree,Learn how to stream data to unlock key insights in real-time.,advanced,2 Months,4.3,242.0,"Data Streaming, Spark, Kafka, Kafka Streaming, Spark Streaming","Intermediate Python, SQL, and experience with ETL",https://www.udacity.com/course/data-streaming-nanodegree--nd029,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/2df8638e709b31e67768e848c1b38b83bad4df41-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Streaming,Yes,N/A
Cloud Developer,nanodegree,Cloud development is the foundation for the new world of software development. Enroll now to build and deploy production-ready full stack apps at scale on AWS.,intermediate,4 Months,4.5,844.0,"AWS, Microservices, Serverless Architecture, Kubernetes",Intermediate JavaScript,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=3840&q=80&fit=clip&auto=format,Cloud Computing,Yes,N/A
Intro to Machine Learning with TensorFlow,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Months,4.7,529.0,"TensorFlow, Deep Learning, scikit-learn, Supervised Learning, Unsupervised Learning",Intermediate Python,https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=3840&q=80&fit=clip&auto=format,Machine Learning Deployment,Yes,N/A
Sensor Fusion Engineer,nanodegree,"Learn to fuse lidar point clouds, radar signatures, and camera images using Kalman Filters to detect and track vehicles and pedestrians over time.",advanced,4 Months,4.7,301.0,"Perception, Lidar, Radar, Sensors, Computer Vision","Intermediate C++, Calculus, and Probability",https://www.udacity.com/course/sensor-fusion-engineer-nanodegree--nd313,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/5c3120359be5c4f225cd7b817811217041b759ab-1192x668.png?w=3840&q=80&fit=clip&auto=format,Radar and Camera Fusion,Yes,N/A
Predictive Analytics For Business,nanodegree,"Learn essential AI concepts including search, optimization, planning, pattern recognition, and more from experts like Peter Norvig and Sebastian Thrun.",beginner,3 Months,4.7,554.0,"Data Wrangling, Classification, A/B Testing, Forecasting, Segmentation","Algebra, Descriptive Statistics, and Excel",https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008t,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/d2f16531bde974464ad7ab74dc335790dbdebffa-1192x668.png?w=3840&q=80&fit=clip&auto=format,Artificial Intelligence,Yes,N/A
Intermediate JavaScript,nanodegree,"Master JavaScript, the most popular programming language in the world. Be equipped for advanced roles in web development, server-side application development, and desktop development.",intermediate,3 Months,4.5,161.0,"Functional Programming, DOM, Data Structures, Asynchronous Programming, Synchronous Programming",Basic JavaScript,https://www.udacity.com/course/intermediate-javascript-nanodegree--nd032,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/3b5e2dcb6962b3c193bb33b3ffe880441acf2a89-1198x672.png?w=3840&q=80&fit=clip&auto=format,JavaScript,Yes,N/A
Agile Software Development,nanodegree,"Get equipped with the skills you need to guide the delivery of high value products with top notch software development teams.
",beginner,3 Months,4.7,151.0,"Agile, Scrum, Kanban, XP, Minimum Viable Product",No Experience Required,https://www.udacity.com/course/agile-software-development-nanodegree--nd144,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/e767662e806c4b485fdb86dbc15f13f937756232-1456x816.png?w=3840&q=80&fit=clip&auto=format,Software Engineering,Yes,N/A
Intro to Machine Learning with PyTorch,nanodegree,"Build a solid foundation in supervised, unsupervised, and deep learning. Then, use these skills to test and deploy machine learning models in a production environment.",intermediate,3 Months,4.7,446.0,"Introduction to Machine Learning, Supervised Learning, Deep Learning, Unsupervised Learning",Intermediate Python,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/5ff5d5ece10bed416bef03604a02a5224b30cd82-1456x816.png?w=3840&q=80&fit=clip&auto=format,Machine Learning,Yes,N/A
AWS Cloud Architect,nanodegree,"Build confidence planning, designing, and creating high availability cloud infrastructure.",advanced,3 Months,4.6,277.0,"Cloud Infrastructure, Cloud Security, AWS, CloudFormation, High Availability Infrastructure, Serverless Computing","Experience with Cloud Computing, Programming, and AWS",https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/7c30d37b7fa71fd4603ed91727c5505d14426f0e-1456x816.png?w=3840&q=80&fit=clip&auto=format,Cloud Infrastructure,Yes,N/A
AI for Business Leaders,nanodegree,"Master the foundations of artificial intelligence so you can strategically implement machine learning technology in your organization, and leverage it for corporate growth.",intermediate,2 Months,4.6,124.0,"Artificial Intelligence, Machine Learning, Business Strategy, Data Labeling, Data Modeling","Statistics, Probability, and Business Experience",https://www.udacity.com/course/ai-for-business-leaders--nd054,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/de83e035790099664b193de60ad62f9ce64ab50b-1350x756.png?w=3840&q=80&fit=clip&auto=format,AI for Business,Yes,N/A
