title,organization,course_certificate_type,course_duration,ratings,reviews_count,level,course_url,students_count,course_skills,course_summary,description,platform,course_img,paid
Intellectual Property Law,University of Pennsylvania,Specialization,3 - 6 Months,4.8,1.2k,Intermediate,https://www.coursera.org/specializations/introduction-intellectual-property,"19,605","['Brand Management', 'Marketing', 'Brand Management', 'Asset Management', 'Value Proposition', 'Intellectual Property', 'Copyright', 'Copyright Protection', 'Fair Use', 'Marketing', 'Brand Management', 'Strategic Planning', 'Value Proposition', 'Innovation', 'Business Strategy', 'Reading a Patent', 'Competition']","['Identify the types of intellectual property protection available under U.S. law', 'Evaluate your options for protecting your creative innovations with copyright law', 'Analyze and interpret a patent document for a competing product', 'Develop strategies for protecting and maximizing your brand with a comprehensive trademark strategy']","Intellectual property is the currency of the tech world. The pharmaceutical patent for Lipitor generated over $100 billion in revenue, the copyright for the Harry Potter franchise has generated over $25 billion to date, and the trademarked brands of the world’s largest tech companies now eclipse $100 billion in value. But what makes these intangible assets so valuable?
Through the courses in this specialization, you will learn the differences between the various forms of U.S. intellectual property rights, including patents, copyrights, and trademarks, and their various applications to human innovations. Drawing from that knowledge, you will then work to develop a trademark strategy for a company, analyze a patent document, and address a copyright cease-and-desist request. After completing these hands-on projects, you will have the necessary framework to craft integrated intellectual property strategies tailored to an organization’s core business goals.
Applied Learning Project
  Through the various projects on developing a trademark strategy, analyzing a patent document,  and addressing a copyright cease-and-desist request,  you will develop integrated intellectual property strategies tailored to an organization’s core business goals. 
",Coursera,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/UPenn_shield_with_banner.svg/1200px-UPenn_shield_with_banner.svg.png,Yes
Interaction Design,University of California San Diego,Specialization,3 - 6 Months,4.5,3.9k,Intermediate,https://www.coursera.org/specializations/interaction-design,"61,251","['User Research', 'Persona (User Experience)', 'User Experience (UX)', 'Human–Computer Interaction', 'Usability Testing', 'User Research', 'User Experience (UX)', 'User Interface', 'A/B Testing', 'User Experience (UX)', 'User Experience Design (UXD)', 'User Interface', 'Information Design', 'User Interface Techniques', 'Responsive Web Design', 'Website Wireframe', 'Rapid Prototyping', 'Storyboarding', 'Heuristic Evaluation', 'Paper Prototyping', 'Experiment', 'Experimental Design', 'Statistical Model', 'R Programming', 'Statistics']",[],"You will learn how to design technologies that bring people joy, rather than frustration. You'll learn how to generate design ideas, techniques for quickly prototyping them, and how to use prototypes to get feedback from other stakeholders like your teammates, clients, and users. You'll also learn principles of visual design, perception, and cognition that inform effective interaction design.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/4b/a551cb6e1307836a21059a79e7ae70/UCSanDiego-Coursera-square.png,Yes
International Business Essentials,University of London,Specialization,3 - 6 Months,4.6,1.8k,Intermediate,https://www.coursera.org/specializations/mba,"26,408","['Linear Algebra', 'Probability & Statistics', 'Mathematics', 'General Statistics', 'Leadership and Management', 'Calculus', 'Strategy', 'Strategy and Operations', 'Organizational Development', 'Business Psychology', 'Leadership Development', 'Marketing', 'Delegation', 'Personal Branding', 'Leadership', 'Management', 'Management Styles', 'Change Management', 'Communication', 'Leadership']","['Build the essential business, academic and cultural skills necessary to succeed in international business.', 'Practice a variety of ways to present data, probability and statistical estimation.', 'Learn the essential mathematics required to succeed in international business, including equations and functions.', 'Explore the international business environment in which organisations function, learning about core analysis methods such as PESTLE and SWOT.']","This specialisation from the University of London Opens in a new tabis designed to help you develop and build the essential business, academic, and cultural skills necessary to succeed in further study and in international business.  
If completed successfully, you may be able to use your certificate from this specialisation as part of the application process for the University of London Global MBAOpens in a new tab.
This Specialisation is endorsed by CMIOpens in a new tab.
Applied Learning Project
Learners will draw on the knowledge gained across the Specialisation to create a business plan, which could be for a range of ideas, including an internal project, or a new start up. Learners will be able to take the skills they learn from this project forward into further study or their careers.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/fb/b28a301e0211e8a40e23e4176c8e4a/UoL-Logo_180x180.png,Yes
International Humanitarian Law in Theory and Practice,Universiteit Leiden,Course,1 - 3 Months,4.8,1.6k,Beginner,https://www.coursera.org/learn/international-humanitarian-law,"57,938","['International Humanitarian Law', 'International Law', 'Law']",[],"“International Humanitarian Law in Theory and Practice” is the first MOOC of the Kalshoven-Gieskes Forum on International Humanitarian Law, which is the platform within the Grotius Centre for International Legal Studies of Leiden University for the research, teaching and dissemination of international humanitarian law (IHL). 
In this course, Prof. Robert Heinsch, Dr. Giulia Pinzauti and Dr. Emma Irving will give you a deep insight into the rules that govern armed conflict, and aim to mitigate human suffering on the battlefield. You will explore the why and how of IHL, followed by the different types of conflict. In no time you will find out which rules apply to the civil war in Syria, the military intervention in Ukraine and the occupation of the West Bank. During this course, you will learn how hostilities should be waged: Which weapons can be used by combatants and other fighters? And, who should never be a target during military operations? We will also look into the concept of protected persons, and you will find out how IHL affords protection to the sick and wounded, medical personal, detainees, children, journalists and other persons who are not - or not anymore - fighting. At the end of this course, you are introduced to the different implementation and enforcement mechanisms that aim to increase respect for IHL. Here, you are invited to think critically whether IHL works!

Throughout this course you will benefit from a mix of theory and practice, which is at the heart of the vision and mandate of the Kalshoven-Gieskes Forum. You can participate for instance in an ongoing case study where drones are flying over the fictitious country Arfula, and detainees are locked up in tiny cells. Or, you can join our discussions about IHL success stories and the major IHL challenges we face today, with distinguished speakers from the International Committee of the Red Cross and US Naval War College! This course is free to join and to participate in. There is the possibility to get a verified certificate for the course, which is a paid option. If you want a certificate, but are unable to pay for it, you can request financial aid via Coursera.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/99/be375da761419aa65929074c4fe213/logo-Universiteit-leiden-resized.png,Yes
International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,Course,1 - 3 Months,4.8,606,Mixed,https://www.coursera.org/learn/international-law-in-action-2,"38,871",[],[],"‘Investigating and Prosecuting International Crimes’ is the second course  in Leiden University’s new series on International Law in Action. The first course covered international courts and tribunals in The Hague in general. This second course provides an insider perspective into the work of international criminal courts and tribunals.  You will learn about the investigation and prosecution of international crimes in The Hague. 
Atrocities produce unspeakable forms of violence. We will explore whether and how international criminal justice contribute to what UN Secretary-General Ban Ki Moon called the ‘age of accountability’. The theory is, those who commit the worst of human crimes, are held accountable, whether they are rank-and-file foot soldiers or military commanders, whether they are lowly civil servants following orders or top political leaders. We will test  how this can be done and if this is realistic.

During this course, you will be offered a look into the ‘kitchen’ of the Hague international criminal courts and tribunals. You will learn how international criminal justice functions, who the actors are, what outcomes it produces, and how it can be improved. 

If you want to gain a better understanding of international criminal cases, like the Lubanga case, the ICC’s first ever trial, and the legal legacy of UN international criminal tribunals, then this course is definitely for you!

This course is free to join and to participate in. There is the possibility to get a verified certificate for the course, which is a paid option. If you want a certificate, but are unable to pay for it, you can request financial aid via Coursera.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/99/be375da761419aa65929074c4fe213/logo-Universiteit-leiden-resized.png,Yes
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,Course,1 - 3 Months,4.8,1.1k,Mixed,https://www.coursera.org/learn/arbitration-international-disputes,"52,549",[],[],"‘The Arbitration of International Disputes’ is the third course of Leiden University’s  series on International Law in Action. The first course covered generalities on the international courts and tribunals in The Hague, while the second course provided an insider's  perspective into the work of international criminal courts and tribunals.  This third course explores the major aspects of international arbitration as one of the most common method of international dispute settlement . Through this course you will gain an in-depth understanding of the  various facets of international arbitration through the analysis of its role as a mechanism of dispute settlement, its institutions, the fields of law it is applicable to, and, of course, its most famous awards. 
The main question we will answer together during this course is ""Can international arbitration contribute to the creation of a peaceful world through the settlement of disputes between States and between States and non-State actors?"" In order to do so, we will learn the basic historical concepts or arbitration, as well as everything there is to know about the Permanent Court of Arbitration, based in The Hague. We will then dive into the role of international arbitration in settling disputes relating to the Law of the Sea, with a particular insight into the landmark South China Sea Arbitration. For an entire module, we will focus on investment arbitration, its principles and the procedure of the ICSID, the International Centre for Settlement of Investment Disputes. We will conclude the course with a module on the interplay between state immunity and enforcement of arbitral awards. This is brought to light through the Yukos Arbitration which is a perfect illustration of the topic.

This course offers you an opportunity to gain a better insight into international arbitration, its role and the current issues relating to it. You will gain in-depth knowledge of the principles and rules of arbitration. You will explore the topic through concrete examples and the most prominent arbitrations. You will also grasp the notion of international arbitration navigating between law and politics. International arbitration and The Hague go hand in hand: several key arbitration institutes are located in The Hague and important disputes were settled here through arbitration. The Hague is, so to speak, ‘the place to be for international arbitration’, especially when we are dealing with arbitration between States, or arbitration of investment disputes between foreign investors and States. 

Join us for the course and become an expert on international arbitration!

This course is free to join and to participate in. There is the possibility to get a verified certificate for the course, which is a paid option. If you want a certificate, but are unable to pay for it, you can request financial aid via Coursera.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/99/be375da761419aa65929074c4fe213/logo-Universiteit-leiden-resized.png,Yes
International Leadership and Organizational Behavior,Università Bocconi,Course,1 - 3 Months,4.8,3.1k,Mixed,https://www.coursera.org/learn/organizational-behavior,"122,763",[],[],"Leaders in business and non-profit organizations increasingly work across national borders and in multi-cultural environments. You may work regularly with customers or suppliers abroad, or be part of a globally dispersed cross-functional team, or an expatriate manager on an international assignment. You may be a member of a global online community, or a development aid worker collaborating with an international network of partner organizations. In all of these contexts, your effectiveness as a leader depends on how well you understand and are able to manage individual and collective behaviors in an intercultural context. 
In this course – together with a team of Bocconi expert faculty and Bocconi alumni – we’ll explore the theory and practice of international and intercultural leadership and organizational behavior. Social science research has revealed systematic ways in which our behavior differs across cultural contexts – enabling us to more effectively work across borders. Insights from psychology, neuroscience, sociology and anthropology, from communication studies and from management scholarship allow us to understand what shapes individual and group decision making, what enhances or weakens team performance, and how we can build and use our social networks. And the shared practical experience of international leaders allows us to identify concrete steps to enhancing intercultural leadership competence, and to be cognizant of common leadership challenges.

Learning about organizational behavior provides a great opportunity to develop your leadership skills and to reflect on your own behavioral tendencies. How do you usually make important decisions? What motivates you and how do you try motivating others? How successfully do you leverage and integrate diverse skills and views in a team? Do you prefer professional relationships with a close-knit group of trusted colleagues, or with a far-flung network of acquaintances from all walks of life?

If you really want to learn how organizations behave and take decisions and at the same time develop leadership skills, then this is the course for you.

We are looking forward to welcoming you and supporting you on this journey of learning and discovery. 

COURSE SYLLABUS
Week 1 - Leadership Acumen. International perspective on leadership, common traps & challenges, and opportunities of intercultural leadership. 
Week 2 - Navigating Culture. Impact of cultural differences on organizations, decoding culture, culture classifications and stereotyping, developing intercultural intelligence. 
Week 3 - Communication. Communication and its impact on leadership identity and relationships, managing communication to improve decision making, steps for developing your intercultural communication skills.
Week 4 - Motivation. Views on individual motivation, cultural differences in motivation, developing motivation and commitment in teams.
Week 5 - Networking. Patterns of interpersonal relationships in/across organizations, strategically developing social networks and social capital, norms for networking across cultures.
Week 6 - Conflict. Effective / defective conflict management approaches, dealing with ethical dilemmas.

Thanks to the participation of our alumni and of the Bocconi Alumni Association, participants will have practical insights on international leadership.

RECOMMENDED BACKGROUND
All are welcome! Some prior exposure to basic issues of organizational behavior (communication, decision making, motivation, etc.) is useful, but not required.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/26/efd1b0521511e598980721fa57d546/logo_180x180.png,Yes
International Organizations Management,University of Geneva,Course,1 - 3 Months,4.8,1.7k,Beginner,https://www.coursera.org/learn/international-organizations-management,"62,569",[],[],"This course provides an introduction to International Organizations and the United Nations, and explores how business and management tools can be applied in these settings to achieve better, more effective results. With a focus on cross-sector partnerships in a changing world, the course offers you insights into the inner workings of international organizations and the challenges they face today. It will introduce you to effective, state-of-the art management tools and principles to help you lead change in this world – taught by senior staff of international organizations themselves. 
This is an introductory course offered by the International Organizations MBA (IO-MBA) of the University of Geneva, an executive program for change-makers in international organizations, NGOs and social ventures.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/3d/924a31c87cba44f62637ede5a9ba69/UNIGE-SquareLogo-600x600.png,Yes
International Organizations for Interpreters,University of Geneva,Course,1 - 3 Months,4.7,67,Beginner,https://www.coursera.org/learn/international-organizations,"7,450",[],[],"This course is primarily aimed at students of conference interpreting, or people who wish to begin studying conference interpreting. It is based on a long-standing lecture course given by the oldest interpreting school in the world, the Faculty of Translation and Interpreting at the University of Geneva.
Our course looks at organizations from a viewpoint which very few people ever get to see; international organizations seen from the interpreting booth. You will learn about the history, development, structure and functions of international organizations, and of course the question of multilingualism. 

The purpose of this course is to help you, as a budding interpreter or translator, to gain basic knowledge about the institutions which may be your future employers, and to give you the essential tools that you will need to easily and efficiently prepare yourself for working at an international organization. 

Naturally, Geneva – renowned for its uniquely high concentration of international organizations – takes centre stage in this course. Throughout this course, we will take you with us to visit a number of these organizations, and to benefit from interviews with various experts who will give us an insider’s view of multilateralism, multilingualism and the other topics broached in the course.
",Coursera,https://coursera-university-assets.s3.amazonaws.com/3d/924a31c87cba44f62637ede5a9ba69/UNIGE-SquareLogo-600x600.png,Yes
International Women's Health and Human Rights,Stanford University,Course,3 - 6 Months,4.9,1.5k,Beginner,https://www.coursera.org/learn/womens-health-human-rights,"108,439",[],[],"This course focuses on women’s health and human rights issues from infancy through old age, including information about positive interventions relating to those issues.  Learners are encouraged to interact with each other through interactive discussions.  
It is important to us that this course be available to all learners.  We encourage you to apply for Coursera's financial aid (see link to left) if the cost of the course certificate is difficult for you to afford.  Please note that you may view all materials in this course, and participate in it, without purchasing a certificate.

The course was co-created by Consulting Professor Anne Firth Murray and Kevin Hsu. Anne Firth Murray is the Content Director of the course; Kevin Hsu is the Design Director of the course.
",Coursera,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAACoCAMAAABt9SM9AAAA21BMVEX///+aAACeEAsBemKXAACcAACVAACMAAD59PTZtbSuTk2qSkqhKyvBhoW0YmLx5eWgJSUAcVa3bW3jycnu39/Qo6Lr2dn17OyoPDqQAADev7/mz8++e3qKAAAAdVy3aGemNTO9dnWqQ0Hg29jIkZChIB3MmpmxWFetTUsAbFDUrKu1ZGOvVFLV5N+hIyDKlZXSqKfBgoFkopKcEhKozsWKtKh1qpzE39nm8O2dxbvdwL8XgGns//zT7edJlYL/6utVlIPsw8TK4duoyL+80cqRwbXisLI1h3Pe499XSxpPAAAUOElEQVR4nO2deX/auNbHLZCESQBjbGyMKdsQtoQQshCa3GYmaTPt+39FjxYvkmyWJGTuczv6feaPgmPZ+iIdnXO0jGFoaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWn9TvKdcvOq7R672HDL981JbbeWx36T42l8CSEggmBlHalIP7xaDWGQf3FU6rd2q7Q60nscW2UIUAERFQoFhEcfL9AEABP6pECQe331Ze9DmqXex9/jEzSChBE8WQ0uyT8KBXyEIq9GN5R8AV3mXe2Uxka519ih3tyYH0rLLS9XjcZqtWyWw2N1i60qU1Y37DFt8k/YPk6xCFBYlZwrjS9XRjmAkjCWPwcEZ+li/1P8FTEdgPYKRK0IDD4Xl0mbE/T4hxCCwZHK7aAtsGqludEMgCQ4H0P5m2BkPOyn1cHsKSiyIaQiRx+iJC1JC0D9+FMPHavc8ZaWdVFqG2OFFcCbECtfBVXDKQ13P6PPngHrvcagMYUQfTos2l1QMvT4/rHKbbKKnKhfn5YejJHKClZufwVK0wK4Y4RBa9cjhrQ1wZEZffQasAA/tRu6tBeC8fELzofVKoXGSm1E4Ob5eu3WMrQGhhfkGb34CaIBYSrDz4VVpnUCzU8qWIXVD0JjkGGF/TvbXmRgAdwz3OBs6xMA7ROyDzLBYjccecZxtWSwykcu1ciFZd4EntHIsAKg7xcf/xxlYAFcMyx8ZuY/4IE1LLkltQNX/HDsaq3QPwaLsHKNWg6roLPoFu3/tLJX4AmhBfNpVZnFkr9zvwiwEDx2tXr/HKxT0gwmOaygczsrdu/zmhyAp4YP+rkPmOTAMp0U7AAdvVrn/yCsnjHJdjUAB9/Wj8XutZfDitGq5hv5EwZrSx9lvfTo1Zr+g7BqxmUeD+J/3nWL3adNPRfXNlj8zR+2PJ6O8uBIwUiik38UVh4O7NwWu8Vi0b6t5rQ7UNgGq7EtRKByAbkKrnwrUnrFqw5pPNVfOTm3PdB41Cx3hgjUJ8vMYMocOzB2PSJx2HWqFwUSdtVr47zx1+mwQked6lz2YtvVSQWA+rA3YiPHAbBw+3pGUBW7d3+qvupuWCxEKIDccHuO+cUk1IwvWFPIAyOEYCVFaPmW1x73AMSGT1wbEmiSPwBwKI211gUPqXipaSg2AhDxSJjcUk9bs+eG7WanRZ/uU4NMLuM0mHQb9DkoCtYKB8Jyfv2yKS372r95CywX81cfZsyWN2TpE0HxOPCAeczNvkQ4aQdfaEaJNkY0xii9DeG0+bkT8UoB1aLvHcA4AZqSYsFXK36fEmYxPjUHML4VxknNKKqlNYyvHdINA+QzWMXik5szIG6FxYdD+nqKaeoE5MWjS3LLCjEJJDujRoHDREm2bd4c8jsKgN6D4wIKOGlbzQBCoWXhqGZN2oYRHDy47sOAA4h9v/k4KbQQB/rR70OaBf0aDK7K5WYvftu9sGDfWfxkqGy/vcwxWtth+XH7gROpcblh6J2xn3vphZH4FQRa3NS0Ae+mQpjXi9BXQ1qYu+Q1QEkob7quFdksyyXiROa0eaNChMfi+dN0iB7EeKe1OkWNuNEwWWvCydPH8CBY8Pzb48zuMli/Bplgeicsw8FxA86MUJesWkqTa8JJ/E+Lv15fKIx9k9bT5zylNEZmNOSmACQ3mQphD6a/iTmABcwtPMuMYmF+Yn7QaIjD+x8L747R6r5uxtl+uAMWNUFx47qQLddl3iBfFvJPI1YtISvsKrBYJpSUIc6cZGDVma8nfFHmpcS/Em/8MBoERwHP7nSA0qoPdR1wvY6f1xzWbLbOWq1dsAwXJdZRjm1yYYniv7kQWloqLINb7ppwkwqL8UQ3mQejevTJlJ/SZqVbmNlG8a4DYUG89NfcwP/1/fv6W+VNsEgEEpviQtrHjANgRdXw1C8EWDzXK2bUVFgt9llK2TSBWK6p/iRUzEGUWuyBsIKGecdNVtF+eT4ZDDNWaw8sYquTxoXSlzrbm0zh1UhdgywsVm/y/FQKrKiTSclZS+q8ubCw8jMZh8GCBe82QkVprRfPZ2/rhkxJ40LpW/FX3g8rNbJZWDzVJ3YXBdYVb0VyudzET6RCJVgPMHvXAbBwbfNEemBCq2s/bZYBVrQXlvEQNy6U1GwPLKfDHdOdsB7UMUCF1cj00/hv4vnSPFjVnDBtPyw4+Dbrdu2fXxNaxeLsq0/jLlH7YRnmJHK5QDyZsAtWuUbcS94Yd8IKM9OoCqw+UkcAI7J08V15sC5y7toPC2+K67/Wt65rxy2LBT0G8Snpf9ShpBGr1+jvJMV0FblcOKrsVljtHmZhzTFgcV+tIz9ghIRy8mDxQbbxVliOU22OTm8WMawfT7bdnV3PS7KCurFfvGZJTfJhmVXA/GiAp1eqy3ksWDy+j1yrPFj8LnkpxyE2i8RgGJmPEavHP//+4+XH9/Wmk2RWmLyD5h3m/CUGO2A9QD7PWLkyYwP/abCkQnNgyXcd6Dr0zJ+xybLvJ/PxaDkavG+itMJswVR4IwVWm8cmwzD9i2PAUnJEq302i991Lt10kOtwGd52U/NubxofmPbjE5VD4Y1kWPzFQVV854/BuhGfGIsPkX2pUNlmFd4zGgI82Py0i4Lsl2Y1zhPkJTJ3ikXCO2BV5apJUZvxLlgT0UuIxbz62BrkwRoioZ9GOsB1uPg2K8qaXfu9L5Fd7+9m86Bab1Y3dCGgkGGxUShNRBwBFg/GFf9cenIeLO5byJMHB4yGXuoxpH7pren7vmmaYdDPpxSpoS4qdNgDq+Irz8XrWO53+2E5+2CFOU+RCefBaks+PtcB3fDFLnaJyVp3pcb13Wo/PDy0DW83rSpW1rCwYShOjqDMqgRfeW816MhmHdoZD54n/1I4KGu0+NRD7EXlxobcyZEXaWQKUmDB3tfZ4/X1V9dMnFIWJ9oujXiC2h5aI6isZrkRJ1370jsL752YQrVlWeoXvAYSrIqSZRgDtdr8KUkyWv2FmHj6VMrslDPrs1RYy+vv4Xh0Uo3Dne6PX3eEl33P/grvoTUC8juMpIxajb+Q+AdK61dTNJkEV06cXFDbK29aQnTIJ/gTj9NVn0Jl8mgD9YVEYybBocIafRsFwUl4Gzcs2w9W7v16dteBCa3tYeGYrhdMP3ag9Ns0Mzn26AeNKuLxaS06akV4HDWylgMXJu4iVdMveGIbJC2YJdNRGnE4aiKIv1w8XzKOyvYmmREyMxpOMAxv4xQ8aVnXIQ7q4823c57U2k2L4gCgMXeIl3HVYBMv6CZNhkeGoUq7ld+ktYmmzhC8qF2AaPawAFonJVdAI1rrKVLwudl5hWbk6LK2Y/UYK5TiXWZ/M6pGHPfDfmPV6RXiaSPh4RkDD3F4Peu+mncJrc0VxBjECcCdtHjbQWxeKpqxE5egjqNfD4I6ialYcFGNXpFOS4FWLZ5I4x64H01HpcurnaiEdNg6idativMg82j6C02nvM6glbJyeaEAqTFJJ0nB8XnMG/4Jnozjn4bAUmZRYTP8IxysElgkit6Ia9rwZDutMl9oH/1EdPpYXvbQiSczEIrnnEaYJxsAwg3DimrJulB5xWdf6ZrnJS3HLPeSb+pNWgNnGa2KRgiedZZJz7KGMJ6OZr9datGaSREI9wdV2X9AybwruWce8hlwiIN4yvp0kl2ljHFpsonnWO+K9mz2cigtw2s2WtEk6k2vmQmUnClfLo5WyQjndti0K+rQX9odYohbrJWYeNjrdVar1aA3ObmkLnkIh5Neg3zT611MC7RxTSsn/G86vd50KBouj5bKazO9Sr8mhU56PXLDqtGrTftI2ZlTvqBdgvAZks73EMCL6jy00ka5Ks0z65QhfL634074p7P45W1WYhqe0TrdQou/E9G2a57jqPsITEt4o6MtQPXDcrn85p1PruM48Zr6zMXBF5VWsDKvk+jQ/tGkHpY8ZYHPD8iU/pbK0LJebcF9t9fWSXaW9d8KS6GFfTnpQKLEe6euTIbtn935bdX5cpXQguPXu/XPRwmX/XOjLKX8F8MSacFOezAq/3knxdFdW1kt+W+GxWhFHgQkY3dpeS3A+ssudn86WMOKxWnxCdRg+LxIzVZ3bX59fJy9FDSsRJRWNH/j3z8JJr7719+1cvvXfQNqWIk6pTFxx5wHc/Fod0WLZb9aowBXdcsStWJJ9rPFzLbXazmrvN4sZSf/Xw/LoKsZnPn19ffN6Fk08F0SS786gYaVUaO5nASXvtiyfvz4ac9ue9pmZeU0Os8LwSntXv/ddxa3t22sYfmKnOb9nTLJuliVglbtTHdDYxjIq2O+OE9yaEhofbWeRx8KdxzPoj+EGyfn/NAlX1jutnNeDPMCXx5tF7o5xZXjFHZ64ckKjZ8KLDIcPiorlt8IqxGdExHvI/CGAdsysfUEhg4ooO1bi9+oBsisBHynTs8NV2LlG3+psCivD8Hik3tAnlgWNweootM8cPvlt2mICqiw/88O0GnN6AsrRkvjxVM3chgku9WHH4I1QsoyILhzw3wZA1zdfvltmpPCjnM+E4F1mkLA7ddZtKZ7/UN0tX6sPuZnNYE0tWcYaPey5bC5bYPnOxQ2hTnCwQe2cZJumMKCF/cz1qjs2evzH6Kht7+6x4V1A46+pfUgWcEHHiu1LNz+SVN9X2/vf41LDFa6Hv7JwseE1Uf/HViVj5yBJMPa2PbT4rk2LGCIKazu+olE1cx82a8d+Emw6KyYFYbK8L57tHeVP6eDhymsKPE8V5xfiqeMagi8eUFeKgJrmPbC29m9c8Onchgs23LuX7/evj7SViYc43MsWL7rtcetKbH/zLeI5l29dnnZA9R1CPrDyaRVDyiFIRpOLvrsn16NLROeMj/NCp15tYWMJS2DnVViTTA7ziqg5YUPtDDuOpjTeE8RGhsObk0nJy22cMYP6tPJsLLvgCQRFhjeLxqxIeew/ghajfPTQXhPnK3F8bvhGNJtyn16ZBw7Domv1G0O6U5lunrBPKebmBu8jZQhAieU1QjDy0GDzilTNmUUkD+q99kcND2qy8MITqurCmTj7bhFC2PbAcggVYj3vJI7rUs6kc2XMpgDgGBn61xnCksw8Kt0YiKChVnZwcRfz76m09LH64ZNdp6TY/n0OKRCPM9O/5wv9aCHG8QdB3Pfi0QTrAHVUAGzMujaIIQ6nRvAFn9dIu6VzDEvbQmidchOOCCD8JitjqX9ki6ciL05F247M2AbLABTs5TA4hfw34v73ifAsmDiXq9QspjMg7Fb1kHJjR6HRBpOsqA3cvPjSq9oJyUlRiuS+rxbhzBZe0vcPXHdaAEky7TG4ICjIWRYgmRYdMNm4zMMvJ/CoiuSop0rKSwXJnvAOohdnaB4FdAERctRcdxCaM2dBFaTV1+BJYyGY5DsqqigAyKGg2EBIPjw8GiwzBQW3Y8YLfJzE1h0bWW07gyyTmbipDWsYs8Wi8ERZSMtpBVgdWRYZnKjBZWNO7kiTmkr70yQHFiCPgfWCYo5WCmseWxx5oA1ozL9zE63HPRRtCRNgmWwsyUFB2E7LNo2+ecxgFtTIKmGQyNzsh+H9Ws7LOIF9w7Z6JTqIFgXebCMuHP2+a4WujMQ8kCWjmos6JNhXVFacJI4XTtgPcBokX4FHXKu4rzUMLy8I1TQy1ZYgWNUS287ZjYbGwJuaUVYjVxYtIJNasZ4bzwnH5104yNDIsMylnRJHEqC5x2w6GJdzAYFcFB95qWakXMoCOzQ9cr2r7xjyEJjUHrjgYTzbCDN2/1+WNR+XZIAGPDFkjWUPZ1SgWV4dbb8PlqhuQvWCLCePAYHnkvYLk0oWYVVa8NinPuccww8o/FWVszSSKk+GFV5Pyxm4j0DRmNgDWWPnFJh0bXHtLdmXIcMLAsz96Ou7ozaqnbphIzgEi54uolnK9SmhV12AuwbRV9YOj0PRl6CCGuSD4u1yjKI9i5Rb0ztMllYhpmm/BRYMukpfSZpKwcnbug5raZICw43UbphtlDOuIO+MSm9PSVkKvVxQORP5ht4V4RFTfzZMD5ogKADat5TKjw+NI80SL4RQ4Gl7Hekv0QTvCEtG5b6hnkjeO9+mvZbSG2LsLoovScv15I7wDmKLKqfC8uTYHWYvY4YUOxqkhWKsM4ir4GMKRlYVZRzL6gPD3GyEoV09XGyvA//LUzfz9Z+ghEC0xiW3pXjaFNP3BQ+RZW3YDo10ZdgpY4l3ZSSWjy60TI5toWbZQnWRVTxEYqy/GFKng7KysZ8yg8d4mSlcoMbmhjjrHov4pbD7qMZnYIBb0yjH7zzUNYeeWU0Z4TcFYxCYL67La5oeiIg7Rz99N6KOAKyo5tgq+l47WarRL+h26HSDSoNHj+7IEZaTqJytqGDfesngx87h/CNh1dbmJBoBRgHePkys0XNHhdjSK8QP7TyXlbEMmO6BB9cnlHrmOQrazRN0o4qRf7N29OQfpv+2nMgjg7+Gf3fCtBsCOa7JGi2Jt3H1CM+4uS8BRGO9oe3aGHRa9O9KfBsUimlhVMD8db5DJ+e02pZ9NDrl4WiF7ZU3TLM+keOdndXhWj+sB9vJqpiWO9fIlppD0BUIX59MDKGGJz1Kwine5FwIPX9qz7z3iusCY0DUka/DoPod2yf8KPsJ/yWOgaXrDDeNFfszolQjTJ4x0nZhJazRzf4gyv6TTd01PTxIcr83wpM1/O2p+p819t+0LkbKp0DHuxkiS8ASnuk7lP9LeS+wckSZe7Rsd/z/4Wqh2SytLgOymRpMc0PymRpMaHjLdf5jVVlZn0Fjn5A/W+oMobL0OmB9/gN/zrR0I7uWu3/t1/kf0HmCtFY4mr/X2ox/Z6Oo5aWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWlpaWltab9H8TTJ0s3Lo4SQAAAABJRU5ErkJggg==",Yes
